FID;ID;Type;Diameter;Material;LENGTH_GEO;START_X;START_Y;MID_X;MID_Y;END_X;END_Y;INSIDE_X;INSIDE_Y
131;132;Secondary;Φ85;Ductile iron pipe;37,919804486799997;25,133429655600001;35,334450026200003;25,133577302300001;35,334329337699998;25,133724949000001;35,334208649300002;25,133577302300001;35,334329337699998
132;133;Main;Φ200;Asbestos Cement pipe;32,859185363400002;25,134357482599999;35,334474070500001;25,134185882000001;35,334427639099999;25,134014281399999;35,334381207699998;25,134185882000001;35,334427639099999
133;134;Main;Φ150;Ductile iron pipe;8,318676915990000;25,134727220199998;35,334379350600003;25,134692528799999;35,334403790800003;25,134657837399999;35,334428230900002;25,134692528799999;35,334403790800003
134;135;Main;Φ150;Ductile iron pipe;5,427047401540000;25,134657837399999;35,334428230900002;25,134630900700000;35,334438764600002;25,134603963899998;35,334449298300001;25,134630900700000;35,334438764600002
135;136;Main;Φ150;Ductile iron pipe;6,720004783330000;25,134603963899998;35,334449298300001;25,134568090199998;35,334456578800001;25,134532216499998;35,334463859300001;25,134568090199998;35,334456578800001
136;137;Main;Φ150;Ductile iron pipe;10,951850686000000;25,134532216499998;35,334463859300001;25,134472009200000;35,334465249899999;25,134411801999999;35,334466640599999;25,134472009200000;35,334465249899999
137;138;Main;Φ150;Ductile iron pipe;5,006775605160000;25,134411801999999;35,334466640599999;25,134384642299999;35,334470355500002;25,134357482599999;35,334474070500001;25,134384642299999;35,334470355500002
138;139;Secondary;Φ85;Ductile iron pipe;8,022935114730000;25,133367178299999;35,334501095699999;25,133398416999999;35,334475560999998;25,133429655600001;35,334450026200003;25,133398416999999;35,334475560999998
139;140;Main;Φ200;Asbestos Cement pipe;8,286721816140000;25,134442048899999;35,334501937600002;25,134399765800001;35,334488004100002;25,134357482599999;35,334474070500001;25,134399765800001;35,334488004100002
140;141;Tertiary;Φ130;Asbestos Cement pipe;38,543242894599999;25,131373616499999;35,334559354900001;25,131168275899999;35,334516241099998;25,130962935300001;35,334473127199999;25,131168275899999;35,334516241099998
141;142;Tertiary;Φ130;Asbestos Cement pipe;37,556739211800000;25,130962935300001;35,334473127199999;25,130763685700000;35,334428531199997;25,130564436099998;35,334383935200002;25,130763685700000;35,334428531199997
142;143;Tertiary;Φ75;Ductile iron pipe;30,038501444700000;25,131373616499999;35,334559354900001;25,131482910300001;35,334457841899997;25,131592204099999;35,334356329000002;25,131482910300001;35,334457841899997
143;144;Tertiary;Φ75;Ductile iron pipe;5,423740742950000;25,131592204099999;35,334356329000002;25,131613438100000;35,334339162299997;25,131634672099999;35,334321995700002;25,131613438100000;35,334339162299997
144;145;Tertiary;Φ75;Ductile iron pipe;9,062190564570001;25,131634672099999;35,334321995700002;25,131684283700000;35,334325888999999;25,131733895400000;35,334329782300003;25,131684283700000;35,334325888999999
145;146;Tertiary;Φ125;UPVC Pipe;30,093306997900001;25,132520408400001;35,334603581099998;25,132512753800000;35,334468105699997;25,132505099199999;35,334332630200002;25,132512753800000;35,334468105699997
146;147;Tertiary;Φ80;UPVC Pipe;32,129744872400003;25,132793719300000;35,334604970299999;25,132765732700001;35,334461999900000;25,132737746099998;35,334319029500001;25,132765732700001;35,334461999900000
147;148;Main;Φ200;Asbestos Cement pipe;27,762149385099999;25,134725362899999;35,334595297400000;25,134583705899999;35,334548617499998;25,134442048899999;35,334501937600002;25,134583705899999;35,334548617499998
148;149;Main;Φ150;Ductile iron pipe;23,959185894600001;25,134725362899999;35,334595297400000;25,134726291600000;35,334487324000001;25,134727220199998;35,334379350600003;25,134726291600000;35,334487324000001
149;150;Tertiary;Φ80;UPVC Pipe;48,877497558700000;25,134725362899999;35,334595297400000;25,134849788699999;35,334400041300000;25,134974214500001;35,334204785200001;25,134849788699999;35,334400041300000
150;151;Tertiary;Φ80;UPVC Pipe;65,459168920699994;25,134974214500001;35,334204785200001;25,135190884600000;35,333969196100000;25,135407554699999;35,333733606999999;25,135190884600000;35,333969196100000
151;152;Tertiary;Φ125;UPVC Pipe;4,646801717910000;25,132357581099999;35,334623741500003;25,132342642699999;35,334606750299997;25,132327704300000;35,334589759000004;25,132342642699999;35,334606750299997
152;153;Tertiary;Φ125;UPVC Pipe;23,547394789700000;25,132327704300000;35,334589759000004;25,132292992600000;35,334487521900002;25,132258280900000;35,334385284800000;25,132292992600000;35,334487521900002
153;154;Tertiary;Φ125;UPVC Pipe;19,407877218100001;25,132258280900000;35,334385284800000;25,132205835800001;35,334309106399999;25,132153390700001;35,334232927899997;25,132205835800001;35,334309106399999
154;155;Tertiary;Φ125;UPVC Pipe;4,859619055230000;25,132153390700001;35,334232927899997;25,132127934800000;35,334226256800001;25,132102478800000;35,334219585600003;25,132127934800000;35,334226256800001
155;156;Tertiary;Φ80;UPVC Pipe;14,971465399500000;25,132357581099999;35,334623741500003;25,132438994699999;35,334613661299997;25,132520408400001;35,334603581099998;25,132438994699999;35,334613661299997
156;157;Tertiary;Φ75;Ductile iron pipe;2,704256778220000;25,131306983399998;35,334653519400000;25,131301958400002;35,334642048900001;25,131296933400002;35,334630578400002;25,131301958400002;35,334642048900001
157;158;Tertiary;Φ75;Ductile iron pipe;10,537819574200000;25,131296933400002;35,334630578400002;25,131335274900000;35,334594966700003;25,131373616499999;35,334559354900001;25,131335274900000;35,334594966700003
158;159;Tertiary;Φ130;Ductile iron pipe;38,257253443800003;25,129372385000000;35,334594564100001;25,129574394300001;35,334642772000002;25,129776403699999;35,334690979999998;25,129574394300001;35,334642772000002
159;160;Tertiary;Φ75;UPVC Pipe;7,315676053960000;25,129776403699999;35,334690979999998;25,129799335400001;35,334663890100003;25,129822267100000;35,334636800200002;25,129799335400001;35,334663890100003
160;161;Tertiary;Φ75;UPVC Pipe;12,298703722699999;25,129822267100000;35,334636800200002;25,129846369399999;35,334585012399998;25,129870471600000;35,334533224600001;25,129846369399999;35,334585012399998
161;162;Tertiary;Φ75;UPVC Pipe;12,355906537599999;25,129870471600000;35,334533224600001;25,129888775400001;35,334479598700000;25,129907079199999;35,334425972799998;25,129888775400001;35,334479598700000
162;163;Tertiary;Φ75;UPVC Pipe;4,395117360260000;25,129907079199999;35,334425972799998;25,129902434400002;35,334406534599999;25,129897789600001;35,334387096400000;25,129902434400002;35,334406534599999
163;164;Secondary;Φ50;Ductile iron pipe;7,043002690520000;25,131743363700000;35,334697423700000;25,131742575099999;35,334665689799998;25,131741786500001;35,334633955900003;25,131742575099999;35,334665689799998
164;165;Secondary;Φ50;Ductile iron pipe;33,754678337800001;25,131741786500001;35,334633955900003;25,131737840900001;35,334481869100003;25,131733895400000;35,334329782300003;25,131737840900001;35,334481869100003
165;166;Secondary;Φ85;Ductile iron pipe;15,890300379499999;25,133330162099998;35,334687593699996;25,133338820900001;35,334616333800000;25,133347479800001;35,334545073900003;25,133338820900001;35,334616333800000
166;167;Secondary;Φ85;Ductile iron pipe;5,197515387610000;25,133347479800001;35,334545073900003;25,133357328999999;35,334523084799997;25,133367178299999;35,334501095699999;25,133357328999999;35,334523084799997
167;168;Secondary;Φ85;Ductile iron pipe;7,603949105550000;25,133248969899999;35,334704047199999;25,133289565999998;35,334695820400000;25,133330162099998;35,334687593699996;25,133289565999998;35,334695820400000
168;169;Tertiary;Φ200;UPVC Pipe;9,540834506540000;25,131352893599999;35,334730848299998;25,131329938499999;35,334692183900003;25,131306983399998;35,334653519400000;25,131329938499999;35,334692183900003
169;170;Tertiary;Φ80;UPVC Pipe;25,676057102900000;25,131352893599999;35,334730848299998;25,131493404899999;35,334719356500003;25,131633916100000;35,334707864800002;25,131493404899999;35,334719356500003
170;171;Tertiary;Φ80;UPVC Pipe;10,017620776899999;25,131633916100000;35,334707864800002;25,131688639899998;35,334702644200000;25,131743363700000;35,334697423700000;25,131688639899998;35,334702644200000
171;172;Tertiary;Φ125;UPVC Pipe;2,755503771950000;25,132482151000001;35,334721899100003;25,132468191299999;35,334717066400003;25,132454231699999;35,334712233700003;25,132468191299999;35,334717066400003
172;173;Tertiary;Φ125;UPVC Pipe;13,175832381999999;25,132454231699999;35,334712233700003;25,132405906399999;35,334667987600000;25,132357581099999;35,334623741500003;25,132405906399999;35,334667987600000
173;174;Tertiary;Φ125;UPVC Pipe;3,844354841280000;25,132482151000001;35,334721899100003;25,132498846800001;35,334711269600000;25,132515542499998;35,334700640100003;25,132498846800001;35,334711269600000
174;175;Tertiary;Φ125;UPVC Pipe;10,777468262599999;25,132515542499998;35,334700640100003;25,132517975399999;35,334652110599997;25,132520408400001;35,334603581099998;25,132517975399999;35,334652110599997
175;176;Tertiary;Φ80;UPVC Pipe;6,969492788950000;25,133367178299999;35,334501095699999;25,133328925400001;35,334503082499999;25,133290672499999;35,334505069300000;25,133328925400001;35,334503082499999
176;177;Tertiary;Φ80;UPVC Pipe;24,629961451600000;25,133290672499999;35,334505069300000;25,133155846299999;35,334515759699997;25,133021020200001;35,334526450100000;25,133155846299999;35,334515759699997
177;178;Tertiary;Φ80;UPVC Pipe;6,427753468480000;25,133021020200001;35,334526450100000;25,133029082899998;35,334554654400002;25,133037145700001;35,334582858600001;25,133029082899998;35,334554654400002
